boundary,,0,,25,,50,,75,,100,,125,,150,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3902.054541272534,581.0275725252271,6023.511802420863,4075.4031798970464,6355.750955981715,3268.6710560363235,5341.667404617464,3726.816710272829,4307.543745148213,3772.1079899945157,3345.3181047123435,3885.6369282079067,1768.879675685001,4521.669647221157,1573.105546131509,3706.4266122307936
3890.967884764671,1621.3135332509041,6135.2797216871295,3962.9268278657664,6545.99677985107,3032.2301256432943,5497.902130473536,3614.5809493688876,4485.861648601249,3688.2619821166522,3479.5597883902137,3728.049739800444,1858.6245076334785,4369.495759178836,1667.9880969494843,3633.437278974131
3368.5129524740532,1612.8326960121817,6252.666082056297,3839.17276674044,6674.74020298439,2863.3050803599513,5626.3150570713915,3507.848710502841,4731.02998763693,3576.50740346739,3635.974785083811,3581.890629941614,1998.8752192288898,4127.130272275068,1779.5156550990487,3566.1920588827024
3382.453897242748,2127.4270435007497,6375.670883528364,3704.140996521068,6820.399039705588,2649.2391248095087,5754.758028808834,3395.462580144312,4887.114487795061,3492.5411000258564,3753.180874615452,3492.059917771177,2094.298582559444,3952.3708921537386,1907.7783559989653,3487.729277479063
1809.4406141284035,2118.91613237111,6481.850406831318,3597.2884620913514,6932.497455507318,2474.569966360931,5883.261090825453,3271.7686668008214,5048.727293637332,3414.2587619677215,3903.7671142290346,3396.7557574537627,2178.214657427907,3851.0519536528336,2035.9509214801183,3426.2281705528676
1795.5597596388839,2639.0140018975726,6588.180155832209,3462.1664701992277,7039.157701043674,2277.2551680515107,6006.235847157933,3142.3907880739307,5204.9019292142275,3313.3307840487437,4043.1765619159896,3312.699232339477,2468.6910669618474,3581.2290043414296,2102.831402202352,3392.6657082889883
-5.34590724821021,2629.270061240317,6688.861418590612,3343.9760788936305,7140.19950547713,2091.2180788361356,6112.445415600473,3029.8843621517326,5366.695005894024,3201.12509703572,4177.02765877922,3228.6126333342736,2630.574279060407,3452.0616428509616,2197.7439981599155,3314.022483539844
,,6795.161122451916,3214.5079784939876,7246.949886432249,1876.9416060492704,6201.949886432248,2922.9416060492636,5522.899686610507,3094.5432276242605,4316.407061326587,3150.2099997124683,2825.897731520083,3306.113050228554,2331.3847790460313,3269.513124982011
,,6974.38038009258,2961.045225841679,7331.2565481153515,1702.1220781461059,6280.247520197811,2832.9003766424044,5634.637560737186,2987.720767085461,4472.581696903483,3049.2820217934905,2965.3071792070386,3222.056525114268,2437.684482907335,3140.045024582368
,,7108.832379747565,2763.880796986846,7421.301831459706,1493.4092751789701,6353.07693855841,2725.8673988671826,5763.110577614216,2869.680745234451,4611.991144590438,2965.2254966792048,3110.485293694834,3098.4528334435286,2215.200224260372,3167.111526408078
,,7220.900750409708,2594.86553003075,7494.581926914122,1301.5679250165263,6436.962968287285,2630.20235185876,5880.40680256462,2762.8883585865697,4773.694085851472,2869.9814841436255,3232.9492826543233,3065.191110088824,2036.9724562261003,3233.9958598084972
,,7310.585492079011,2453.9994249733923,7545.628619073633,1109.6062792904127,6504.20399068457,2528.793191685102,5992.264857249648,2633.450332077844,4929.838676288779,2774.7073977171294,3294.3615479715945,3014.6368994565823,1853.3966533452176,3261.2728788706286
,,7422.683907880742,2279.330266524815,7552.148414364166,928.7118254219223,6588.210200971796,2410.5125787067527,6087.327678905151,2526.5376498662927,5085.983266726086,2679.433311290632,3400.4509358557843,2924.74603950431,1653.1457979931574,3288.459676260007
,,7501.28199304218,2132.7501221931407,7519.669618469857,764.5685287944543,6700.218481354765,2252.8050947356196,6199.245823869356,2385.7918403726044,5225.482849831806,2578.415111698902,3573.090307926742,2863.485523705455,1508.2681349012396,3355.5244530059313
,,7568.5831057186415,2020.03317903452,7442.213248612751,696.300796411832,6801.170150369457,2083.729679997689,6333.5475978264,2216.8968689801786,5398.422673298641,2460.6156809752315,3695.9448837008713,2756.7232109484903,1329.8000057502659,3467.639918346203
,,7636.004398953452,1884.7006699059739,7281.081165003883,684.1208705902628,6868.531353325092,1959.704953854106,6456.762715275583,2042.2878583134366,5560.3058853972,2331.4483194847635,3885.3494436617702,2678.5912423449436,1145.7434806359797,3585.3792012880385
,,7554.822431787471,425.5154825910695,7175.442454213508,689.2033581553126,6924.655674074927,1858.2356458986135,6625.105632385499,1743.533825939441,5727.777493459073,2196.6571403927314,4019.3507662229376,2566.2351858773327,1017.5709151548261,3646.880308214233
,,7376.895115149077,435.86090106667393,7025.246801414567,711.0069290704673,6980.960265662287,1722.8429889882323,6709.5324746269525,1546.0987320663503,5900.897587763436,2044.9343607141723,4191.930048014721,2516.2824530634402,855.867973893793,3742.124320749812
,,7003.8546620281195,552.5776717173156,6824.965900922919,743.8476179523278,7059.64848624249,1559.3011701791131,6737.925131537335,1433.1712716713082,6001.54880538225,1932.3978609010567,4303.697967280988,2403.806101032159,744.3103706046408,3815.0234323337227
,,6669.9630257899435,624.2738276645276,6669.151807021076,776.9288979615279,7116.313619504904,1356.0618153589542,6755.651763894081,1235.375291107208,6102.4103389781785,1780.2841206405706,4498.720968344786,2314.3964233345664,599.312526954372,3904.703775049573
,,6174.308358011559,802.5217791322818,6368.52014030649,865.7671717316894,7156.333745435727,1147.0783473735612,6595.270808774908,1081.8480779736017,6186.656910382106,1616.7723757223691,4643.8389925534075,2202.1005146487905,415.5864983755499,3960.250251574111
,,5455.6887093528085,1098.2984963054491,6090.1519220263945,949.0718495730389,7167.871079037406,1067.984014260655,6395.200224260372,1075.1115264080918,6237.343060866567,1492.6574279060333,4783.098214542423,2146.313446996912,209.53693108306277,4032.638107012425
,,4647.834996118572,1450.132946148752,5856.2805554756915,1026.9632270492464,7107.390213047355,943.2675886259702,6189.2407923866485,1130.5377073689606,6237.763692820794,1413.5029470112925,4889.157557287026,2062.076478537121,-24.484661165578814,4138.79894195104
,,4135.144734193957,1696.1373738535315,5449.619591156092,1194.384577786717,7063.193812713839,892.1419740662973,5844.082228803083,1230.4431729967453,6116.261148328112,1265.8401426065898,5011.741726804866,2006.1991892124902,,
,,3745.06868692677,1880.610620741199,5026.223484086139,1373.023489836398,6890.945027457522,879.9019004628932,5565.593829964636,1336.3634168080207,5954.978839021306,1281.9296742474278,5095.477530835802,1938.8035996664744,,
,,3455.3133607429345,2014.7401742330471,4725.321411115266,1512.7467870388925,6690.694172105461,907.0886978522722,5370.660964319601,1408.8114200281693,5848.8594059975285,1377.4744256921815,5173.745119461775,1854.4162617520963,,
,,3020.680371467181,2215.934504470819,4430.007734107703,1646.8462666398234,6518.265116011617,928.7719732037569,5119.99436473937,1509.2281418015507,5465.002702624997,1437.5921336361735,5262.859003478911,1820.9740950518867,,
,,2430.3534688479344,2427.5945487478657,4117.95891434979,1792.1633075529649,6329.010781748658,978.6344843448969,4891.561168454042,1609.765159138602,5242.06776688422,1549.4670078491051,5318.532647134931,1804.3131594836166,,
,,1973.697392254392,2589.0913429745974,3733.471263045916,1971.0127368390679,6017.232368247032,1073.0665018257046,4651.9511802420875,1721.549811678781,5013.6646157384785,1644.350133693675,5335.538196141572,1742.2105747390726,,
,,1455.9295017394556,2744.6034329087556,3410.245651361376,2127.5774129553374,5733.215663724448,1173.3027802535814,4395.666139558956,1833.244242546208,4779.673068629425,1744.8570771398086,5380.545815243956,1640.6811190017454,,
,,,,3042.553233087031,2283.901497944267,5432.433771311925,1290.41051148615,4156.026106207412,1950.6827865788687,4579.0917167419,1834.236680946484,5302.728903711797,1640.260084528901,,
,,,,2730.59454874788,2412.2568643799636,5181.737126592106,1396.4811247520126,3938.709611569535,2051.2799516977543,4328.334981742906,1951.6150771973098,5274.3963370805905,1741.8797619389807,,
,,,,2324.023719847043,2562.71654063999,4981.125729564993,1491.51462005117,3738.098214542423,2146.3134469969114,4110.958396825854,2063.520025301159,5129.6688996866105,1780.6750812224973,,
,,,,1939.776429659872,2696.334837986241,4775.01607199333,1575.2102584744464,3531.9885569707603,2230.009085420188,3837.998303671545,2175.124234495833,4996.178344498435,1796.914982317923,,
,,,,1265.8939938472154,2941.467122854415,4490.849141772807,1703.7159943647302,3270.05503004514,2358.635116874142,3681.82366809465,2276.0522124148115,4834.896035191628,1813.004513958761,,
,,,,1081.9276041516923,3042.2447313188054,4245.65075759754,1821.1244645064735,3041.621833759812,2459.1721342111937,3414.421925764067,2387.6864955004035,4789.858370949656,1920.1878611885697,,
,,,,892.613179609557,3103.4150254449087,4039.4509646071147,1921.7817774071946,2829.9538253644237,2542.8376987435527,3185.9887294787386,2488.2235128374546,4661.6858054685035,1981.6889681147647,,
,,,,719.8235818406603,3192.944998706171,3822.164515108824,2016.7250510335994,2601.520629079095,2643.374716080604,2990.96572841494,2577.6331905350476,4505.931801845836,2003.4624651390018,,
,,,,547.094074350939,3271.167188982471,3632.6698197291626,2111.818694114591,2439.9979586555883,2704.6953796612934,2801.591213593629,2650.1112676461134,4366.492309019292,2093.1728817457692,,
,,,,413.543428883586,3298.7148730628596,3432.0884678416387,2201.198297921266,2194.9197550386707,2799.488283833111,2584.274718955752,2750.708432764999,4221.614645927375,2160.2376584916933,,
,,,,179.672062332883,3376.6062505390673,3214.802018343349,2296.141571547671,1961.0483884879677,2877.3796613093186,2322.4914177280702,2851.0650067565457,4054.713895517668,2187.604899226577,,
,,,,1.4442942986113394,3443.4905839394864,3025.397458382451,2374.2735401512186,1749.4104252321672,2955.3913343491963,2032.9163623817608,2951.271211293505,3976.386216612519,2283.300020125918,,
,,,,,,2835.9628532819647,2458.0594002472476,1560.0960006900323,3016.561628475299,1798.984905551882,3040.470371754676,3820.4218970127376,2344.650757597526,,
,,,,,,2646.588338460654,2530.537477358313,1404.191771369426,3066.6045829619434,1476.1198355423935,3129.1883499611677,3714.6630056640133,2372.348811132502,,
,,,,,,2440.5087260285795,2608.5792242891084,1186.875276731549,3167.20174808083,1208.567867513873,3269.0920905091666,3580.72177338202,2473.3970846151497,,
,,,,,,2267.8393088180333,2675.493631580445,1041.9976136396308,3234.266524826754,1030.249964060838,3352.93809838703,3213.209625945201,2595.7978206491903,,
,,,,,,2084.053189960036,2742.347891089947,835.8879560679683,3317.9621632500302,779.4932290618445,3470.316494637856,3051.4465944049916,2702.349616169732,,
,,,,,,1855.7401742330585,2820.269342457072,651.9816566516203,3407.4319887294587,551.1201230556916,3559.5457289899446,2812.1370575889136,2757.595353785097,,
,,,,,,1638.5739052931199,2892.5970501135507,429.3171271671316,3468.4218395100565,267.1935539518703,3642.820332940377,2628.1105776142153,2869.6807452344506,,
,,,,,,1477.1113251487877,2942.609930709278,234.44435180127073,3529.562059745242,16.617089790402815,3726.2753802363136,2433.2978925275297,2919.5131824846726,,
,,,,,,1315.4684741669303,3026.5461602598944,28.454874787959056,3590.6421321985927,,,2166.0163307552975,3008.531899600339,,
,,,,,,1170.5908110750124,3093.6109370058184,,,,,1926.5565682412816,3092.0470946781106,,
,,,,,,1042.4482907334464,3149.4581524395317,,,,,1609.2198039159316,3186.449038268001,,
,,,,,,847.4553348092351,3233.213938644643,,,,,1458.7837900002883,3253.483741123008,,
,,,,,,669.167476495788,3311.4060550300255,,,,,1224.762197751646,3359.644576061623,,
,,,,,,479.7929616744776,3383.8841321410914,,,,,1057.560995946063,3443.5507317213214,,
,,,,,,290.62876283028106,3416.7849688047863,,,,,840.3045915873612,3532.840113855245,,
,,,,,,123.54774158304826,3478.0755584945596,,,,,689.8084873925421,3611.1825996952143,,
,,,,,,34.40381242632486,3517.17161668725,,,,,506.02236853454485,3678.036859204716,,
,,,,,,,,,,,,294.5045858370951,3733.432966274668,,
,,,,,,,,,,,,127.45360972945014,3789.0696644719587,,
,,,,,,,,,,,,-17.36396308329256,3844.8266582329197,,
